model,category,ratings,color,display,processor,ram,android_version,camera,storage,storage_category,battery,battery_category,price_gbp,price_category,imgURL
SAMSUNG Galaxy A21s,Phones,4.0,Black,other_types,not mentioned,6,10,48,128,High Storage,5000,High Battery,161.9,Mid-Range,https://rukminim2.flixcart.com/image/312/312/kbi9h8w0/mobile/g/g/c/samsung-galaxy-a21s-sm-a217fzkfins-original-imafsuyajewgnfcg.jpeg?q=70
SAMSUNG Galaxy M02,Phones,4.3,Gray,other_types,MediaTek,3,13,13,32,Low Storage,5000,High Battery,80.94,Budget,https://rukminim2.flixcart.com/image/312/312/kkzrpu80/mobile/b/e/u/galaxy-m02-b08t2nnt4s5-samsung-original-imagy73cteuu4kfj.jpeg?q=70
SAMSUNG Galaxy M31,Phones,4.5,Space Black,other_types,not mentioned,8,10,64,128,High Storage,6000,High Battery,179.04,Mid-Range,https://rukminim2.flixcart.com/image/312/312/ke8uv0w0/mobile/g/e/k/samsung-galaxy-m31-sm-m315fzkhins-original-imafuywtj9yfjjhx.jpeg?q=70
SAMSUNG Galaxy S23 Plus 5G,Phones,4.3,Phantom Black,HD+ AMOLED,Gen8,8,9,50,256,High Storage,4700,Medium Battery,280.6,Mid-Range,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/c/1/h/-original-imagmg6gcjyuvzvn.jpeg?q=70
SAMSUNG Galaxy A51,Phones,4.3,Prism Crush Black,AMOLED,not mentioned,6,11,48,128,High Storage,4000,Medium Battery,199.99,Mid-Range,https://rukminim2.flixcart.com/image/312/312/k62i5jk0/mobile/y/k/s/samsung-galaxy-a51-sm-a515fzkhins-original-imafzhr399hrsbzb.jpeg?q=70
SAMSUNG Galaxy A70,Phones,4.2,Black,other_types,not mentioned,6,13,32,128,High Storage,4500,Medium Battery,294.29,Mid-Range,https://rukminim2.flixcart.com/image/312/312/k2jbyq80pkrrdj/mobile-refurbished/u/k/g/galaxy-a70-128-b-sm-a705gzkhins-samsung-6-original-imaffnv6tzdve9ju.jpeg?q=70
SAMSUNG Galaxy M52 5G,Phones,4.1,Blazing Black,other_types,not mentioned,6,9,64,128,High Storage,5000,High Battery,219.7,Mid-Range,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/p/5/r/-original-imag7h2tmrsaugcz.jpeg?q=70
SAMSUNG Galaxy A20s,Phones,4.4,Green,other_types,not mentioned,3,10,13,32,Low Storage,4000,Medium Battery,122.86,Budget,https://rukminim2.flixcart.com/image/312/312/k2jbyq80pkrrdj/mobile-refurbished/g/f/a/galaxy-a20s-64-a-sm-a207fzggins-samsung-4-original-imafh4nxesr3ghcf.jpeg?q=70
SAMSUNG Galaxy S23 Ultra 5G,Phones,4.3,Green,HD+ AMOLED,Gen8,12,7,200,1,Low Storage,5000,High Battery,227.88,Mid-Range,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/2/s/7/-original-imagmg6gktts6sfy.jpeg?q=70
SAMSUNG Galaxy A70s,Phones,4.3,Prism Crush Red,other_types,not mentioned,8,5,64,128,High Storage,4500,Medium Battery,304.76,Flagship,https://rukminim2.flixcart.com/image/312/312/kgjqefk0/mobile/u/y/6/samsung-galaxy-a70s-sm-a707fzrwins-original-imafwraz3ahtvchh.jpeg?q=70
SAMSUNG Galaxy A31,Phones,4.6,Prism Crush Black,AMOLED,MediaTek,6,8,48,128,High Storage,5000,High Battery,228.56,Mid-Range,https://rukminim2.flixcart.com/image/312/312/kamtsi80/mobile/g/2/j/samsung-galaxy-a31-sm-a315fzkwins-original-imafs5p5ffjbkf3w.jpeg?q=70
SAMSUNG Galaxy Note 8,Phones,4.1,Midnight Black,other_types,not mentioned,6,10,12,64,Medium Storage,3300,Low Battery,80.61,Budget,https://rukminim2.flixcart.com/image/312/312/jbpeavk0/mobile/f/f/n/samsung-galaxy-note-8-sm-n950f-original-imafy3r926hhgzy8.jpeg?q=70
SAMSUNG Galaxy duos,Phones,4.2,White,other_types,not mentioned,1,10,5,4,Low Storage,1500,Low Battery,127.52,Budget,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/r/e/u/s-dues-galaxy-s-dues-samsung-original-imagn6fufpugdgrh.jpeg?q=70
SAMSUNG Galaxy A7,Phones,4.4,Blue,AMOLED,not mentioned,4,11,24,64,Medium Storage,3300,Low Battery,212.38,Mid-Range,https://rukminim2.flixcart.com/image/312/312/jmgmmq80/mobile/x/f/z/samsung-galaxy-a7-sm-a750fzbhins-original-imaf9d35cv5anzqw.jpeg?q=70
SAMSUNG Galaxy Note 20,Phones,4.2,Mystic Blue,HD+ AMOLED,not mentioned,8,11,64,256,High Storage,4300,Medium Battery,194.9,Mid-Range,https://rukminim2.flixcart.com/image/312/312/kdxfc7k0/mobile/u/a/z/samsung-galaxy-note-20-sm-n980fzbgins-original-imafuq7pxeyqhkkx.jpeg?q=70
SAMSUNG Galaxy S20+,Phones,4.4,Cosmic Black,AMOLED,not mentioned,8,6,64,128,High Storage,4500,Medium Battery,166.32,Mid-Range,https://rukminim2.flixcart.com/image/312/312/k6mibgw0/mobile/z/u/x/samsung-galaxy-s20-sm-g985fzkdinu-original-imafpfkbsxshxns2.jpeg?q=70
SAMSUNG Galaxy Z Flip3 5G,Phones,4.3,Phantom Black,HD+ AMOLED,Snapdragon888,8,10,12,256,High Storage,3300,Low Battery,223.46,Mid-Range,https://rukminim2.flixcart.com/image/312/312/ksnjp8w0/mobile/f/k/y/galaxy-z-flip3-5g-sm-f711bzkainu-samsung-original-imag662axn2xmght.jpeg?q=70
SAMSUNG Galaxy A12,Phones,4.5,Blue,LCD,not mentioned,6,8,48,128,High Storage,5000,High Battery,122.54,Budget,https://rukminim2.flixcart.com/image/312/312/krz97rk0/mobile/g/n/h/galaxy-a12-mtk-g35-sm-a125fzbjins-samsung-original-imag5n53wm8rg4tw.jpeg?q=70
SAMSUNG Galaxy J7 Prime,Phones,4.3,Gold,other_types,not mentioned,3,8,13,32,Low Storage,3300,Low Battery,145.71,Budget,https://rukminim2.flixcart.com/image/312/312/jdkjzww0/mobile/c/h/f/samsung-galaxy-j7-prime-sm-g610fzddins-sm-g610fzdoins-original-imaf2gf2gcbcyykg.jpeg?q=70
SAMSUNG Galaxy A31,Phones,4.4,Prism Crush Blue,AMOLED,MediaTek,6,10,48,128,High Storage,5000,High Battery,161.9,Mid-Range,https://rukminim2.flixcart.com/image/312/312/kamtsi80/mobile/z/c/w/samsung-galaxy-a31-sm-a315fzbwins-original-imafs5p5kwscdurq.jpeg?q=70
SAMSUNG Galaxy J8,Phones,4.4,Blue,other_types,Snapdragon450P,4,10,16,64,Medium Storage,3500,Low Battery,161.9,Mid-Range,https://rukminim2.flixcart.com/image/312/312/jjelq4w0/mobile/4/x/5/samsung-galaxy-j8-sm-j810gzbgins-original-imaf6zg5zkgnwguk.jpeg?q=70
SAMSUNG Galaxy J8,Phones,4.2,Black,other_types,Snapdragon450P,4,10,16,64,Medium Storage,3500,Low Battery,161.9,Mid-Range,https://rukminim2.flixcart.com/image/312/312/jjelq4w0/mobile/z/g/g/samsung-galaxy-j8-sm-j810g-original-imaf6zg5bwpvhezx.jpeg?q=70
SAMSUNG Galaxy M31s,Phones,4.1,Mirage Blue,other_types,not mentioned,6,9,64,128,High Storage,6000,High Battery,180.94,Mid-Range,https://rukminim2.flixcart.com/image/312/312/ke8uv0w0/mobile/e/7/r/samsung-galaxy-m31s-sm-m317fzbdins-original-imafuywznfyhzy9t.jpeg?q=70
SAMSUNG Galaxy A32,Phones,4.5,Awesome Black,other_types,not mentioned,6,9,64,128,High Storage,5000,High Battery,238.09,Mid-Range,https://rukminim2.flixcart.com/image/312/312/klscivk0/mobile/5/t/k/a32-sm-a325fzkhins-samsung-original-imagyu3bndhp4tzf.jpeg?q=70
SAMSUNG Galaxy F41,Phones,4.4,Fusion Black,other_types,not mentioned,6,9,64,128,High Storage,6000,High Battery,138.09,Budget,https://rukminim2.flixcart.com/image/312/312/kfzq8i80/mobile/w/s/2/samsung-galaxy-f41-sm-f415fzkdins-original-imafwbnvxuhzvtpv.jpeg?q=70
SAMSUNG Galaxy A10s,Phones,4.3,Black,other_types,MediaTek,2,9,13,32,Low Storage,4000,Medium Battery,95.24,Budget,https://rukminim2.flixcart.com/image/312/312/k2jbyq80pkrrdj/mobile-refurbished/d/u/c/galaxy-a10s-32-gb-c-sm-a107fzkdins-samsung-2-original-imafjycfagsvuzrw.jpeg?q=70
SAMSUNG Galaxy A50,Phones,4.2,Blue,AMOLED,not mentioned,4,8,25,64,Medium Storage,4000,Medium Battery,200.0,Mid-Range,https://rukminim2.flixcart.com/image/312/312/jsyyufk0/mobile/e/t/q/samsung-galaxy-a50-sm-a505fzbgins-original-imafefghgjpvhxkq.jpeg?q=70
SAMSUNG Galaxy M40,Phones,4.5,Seawater Blue,other_types,not mentioned,6,9,32,128,High Storage,3500,Low Battery,204.67,Mid-Range,https://rukminim2.flixcart.com/image/312/312/k51cpe80pkrrdj/mobile/5/j/g/samsung-galaxy-m40-m40-original-imafg6vph4j6fazf.jpeg?q=70
SAMSUNG Galaxy A30s,Phones,4.3,Prism Crush Violet,other_types,not mentioned,4,12,25,64,Medium Storage,4000,Medium Battery,154.28,Mid-Range,https://rukminim2.flixcart.com/image/312/312/k4vmxzk0/mobile/g/v/z/samsung-galaxy-a30s-sm-a307fzlvins-original-imafk8hxeujuqvzw.jpeg?q=70
SAMSUNG Galaxy J4 Plus,Phones,4.4,Black,other_types,Snapdragon425P,2,8,13,32,Low Storage,3300,Low Battery,85.71,Budget,https://rukminim2.flixcart.com/image/312/312/jmgmmq80/mobile/b/r/h/samsung-galaxy-j4-plus-sm-j415fzkfins-original-imaf9d4khsftw4pz.jpeg?q=70
SAMSUNG Galaxy M01s,Phones,4.2,Gray,other_types,MediaTek,3,9,13,32,Low Storage,4000,Medium Battery,104.75,Budget,https://rukminim2.flixcart.com/image/312/312/kdnf98w0/mobile/g/z/n/samsung-galaxy-m01s-b089ms4lgt-original-imafug5gtyqhdwb8.jpeg?q=70
SAMSUNG Galaxy S22,Phones,4.2,Pink Gold,other_types,not mentioned,8,12,50,128,High Storage,3700,Low Battery,194.89,Mid-Range,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/t/h/f/galaxy-s22-sm-s901eiddinu-samsung-original-imagpegzgujrzvvj.jpeg?q=70
